Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
shulex,1,1,1300,43,0.49,https://www.voc.ai/,1040,10.44,509.00,0.92,86,"[16,24,4,3,1,27,66,80,36,66,36,52]",2025-01-04,"Sitelinks, Reviews, Image, People also ask, Related searches","commercial, navigational",Organic
alexa routines repeat songs,1,1,2400,23,0.00,https://www.voc.ai/blog/how-to-loop-music-on-alexa%3A-songs%2C-playlists%2C-and-routines-explained-en-us,595,5.97,0.00,0,522000,[100],2025-01-05,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
what is amazon digital,1,1,2900,22,0.53,https://www.voc.ai/blog/amazon-digital-charge,382,3.83,202.00,0,1960000000,"[10,13,13,8,3,3,8,19,24,29,29,29]",2025-01-07,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
can you use ideogram for print on demand,1,1,1000,30,0.00,https://www.voc.ai/blog/creating-best-selling-print-on-demand-designs-with-text-%E2%80%93-ideogram-a.i-tutorial-en-us,248,2.49,0.00,0,34400,"[100,0]",2024-12-26,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Related searches",commercial,Organic
how big market is for amazon vs ebay,1,1,1600,28,0.00,https://www.voc.ai/blog/amazon-vs-ebay-2024-a-comprehensive-comparison-2024,211,2.11,0.00,0,35600000,[100],2025-01-01,"Sitelinks, Reviews, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
why does customer assistance suck so bad at tesla,1,1,720,15,0.00,https://www.voc.ai/blog/tesla-customer-service-sucks-2-bad-tesla-buying-experiences-in-a-row-en-us,178,1.78,0.00,0,9900000,"[100,0,0]",2024-12-28,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
voc ai,1,1,210,37,3.57,https://www.voc.ai/,168,1.68,599.00,0.18,70300000,"[53,28,100,0,100,81,53,100,81,34,28,43]",2024-12-16,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
how to delete archived orders on amazon,1,1,590,15,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,146,1.46,0.00,0,109000,"[100,81,66,66,81,66,81,81,81,81,81,100]",2025-01-07,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
amazon vine login,4,4,22200,51,0.23,https://www.voc.ai/blog/amazon-vine-program-login,133,1.33,30.00,0.02,18200000,"[54,67,54,54,54,67,54,81,81,81,81,100]",2025-01-08,"Sitelinks, Reviews, People also ask, Related searches","navigational, transactional",Organic
tik tok comments analysis ai,4,4,1900,8,0.00,https://www.voc.ai/blog/how-to-get-more-views-by-analysis-tiktok-comments,123,1.23,0.00,0,69300000,"[100,0]",2025-01-04,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
how to convert semi annual coupons,1,1,390,44,0.00,https://www.voc.ai/blog/how-to-calculate-present-value-of-a-bond-with-semiannual-coupon-en-us,96,0.96,0.00,0,7340000,"[100,0,0,0,0]",2024-12-16,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
how to turn on echo glow at a specific time,1,1,720,30,0.00,https://www.voc.ai/blog/how-to-set-up-amazon-echo-glow%3A-a-step-by-step-guide-en-us,95,0.95,0.00,0,20300000,"[100,0,0]",2025-01-07,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
alice box,3,3,1000,27,0.20,https://www.voc.ai/blog/trying-out-the-alice-box-app-does-it-work%3F-en-us,82,0.82,16.00,0.16,425000000,"[52,36,36,36,16,16,44,36,24,16,36,27]",2024-12-28,"Image pack, Reviews, Video, People also ask, Popular products, Related searches",informational,Organic
delete archived orders amazon,1,1,320,15,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,79,0.79,0.00,0.03,84,"[66,66,66,44,18,54,54,15,66,54,54,54]",2025-01-02,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
amazon delete archived orders,1,1,320,15,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,79,0.79,0.00,0,113000,"[66,66,54,44,54,54,54,66,54,54,44,44]",2025-01-06,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
amazon dsp owner pros and cons,1,1,320,14,0.00,https://www.voc.ai/blog/pros-and-cons-of-amazon-dsp%3A-is-it-worth-starting-your-own-delivery-business%3F-en-us,79,0.79,0.00,0,75,"[9,48,88,100,88,59,21,2,2,2,2,2]",2025-01-06,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
what is amazon digital services charge,1,1,320,14,0.00,https://www.voc.ai/blog/amazon-digital-charge,79,0.79,0.00,0,157000000,"[44,44,54,44,29,12,9,9,66,81,81,66]",2024-12-12,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
wpm calculator,7,7,2400,38,0.03,https://www.voc.ai/tools/typing-speed-test,72,0.72,2.00,0.01,1680000,"[65,100,100,82,100,82,55,55,65,100,100,82]",2025-01-08,"Image pack, Sitelinks, Reviews, Related searches","commercial, informational",Organic
amazon hub counter,7,7,27100,61,0.91,https://www.voc.ai/blog/amazon-hub-counter,70,0.7,63.00,0.02,97600000,"[100,67,10,16,2,3,6,4,7,4,4,2]",2025-01-07,"Sitelinks, Reviews, Video, People also ask, Related searches, See results about","navigational, transactional",Organic
how to delete archived orders in amazon,1,1,260,17,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,64,0.64,0.00,0.01,130000,"[53,100,66,53,66,82,66,43,82,100,28,82]",2024-12-19,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
how to host a python bot 24/7,1,1,480,30,0.00,https://www.voc.ai/blog/how-to-host-your-bot-online-24%2F7-for-free-with-python-telegram%2C-discord%2C-etc-en-us,63,0.63,0.00,0,126000,"[100,0,0,0]",2025-01-01,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, Ads middle, AI overview",informational,Organic
postal service in usa sucks,3,0,1900,26,0.00,https://www.voc.ai/blog/why-the-us-postal-service-sucks-en-us,57,0.57,0.00,0,99400000,[100],2025-01-07,"Sitelinks, Reviews, People also ask, Related searches",,Organic
necrophonic app,4,4,880,27,0.12,https://www.voc.ai/blog/a-skeptic-tries-the-necrophonic-spirit-box-app-app-gets-destroyed-with-mild-ghost-hunting-en-us,57,0.57,6.00,0.03,50,"[4,8,4,5,5,4,5,4,4,0,100,3]",2025-01-03,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches","informational, transactional",Organic
voc.ai,1,1,70,25,3.57,https://www.voc.ai/,56,0.56,199.00,0.18,28000000,"[6,0,100,0,0,0,43,0,43,0,28,0]",2024-12-15,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask",navigational,Organic
amazon hub counter news,10,11,8100,36,0.00,https://www.voc.ai/blog/amazon-hub-counter,56,0.56,0.00,0,7970000,"[100,36,29,3,0,2,4,0,0,0,0,0]",2025-01-07,"Reviews, Video, People also ask, Related searches",commercial,Organic
shulex voc,1,1,70,19,0.00,https://www.voc.ai/,56,0.56,0.00,0.02,69,"[15,21,21,15,15,15,21,28,28,21,21,15]",2024-12-30,"Image pack, Sitelinks, Reviews, Related searches",navigational,Organic
what is amazon digit,1,1,210,9,0.48,https://www.voc.ai/blog/amazon-digital-charge,52,0.52,24.00,0,143000000,"[11,11,11,3,8,2,0,0,1,2,2,34]",2024-12-26,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
delete order from amazon archive,1,1,210,24,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,52,0.52,0.00,0,14900000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2024-12-24,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
how to delete amazon archived orders,1,1,390,18,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,51,0.51,0.00,0.01,1020000,"[66,100,81,66,54,81,66,66,100,100,81,81]",2024-12-26,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
b2b prime,7,7,3600,26,5.78,https://www.voc.ai/blog/business-prime-vs-prime,46,0.46,265.00,0.13,42700000,"[81,81,81,81,81,66,66,35,53,66,66,44]",2025-01-05,"Image pack, Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
postal service in usa n usa sucks,5,0,1900,20,0.00,https://www.voc.ai/blog/why-the-us-postal-service-sucks-en-us,45,0.45,0.00,0,1480000000,[100],2025-01-07,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
alexa routines repeat songs spotify,7,7,2400,26,0.00,https://www.voc.ai/blog/how-to-loop-music-on-alexa%3A-songs%2C-playlists%2C-and-routines-explained-en-us,45,0.45,0.00,0,93200,[100],2025-01-05,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
how do i delete archived orders on amazon,1,1,320,14,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,42,0.42,0.00,0.01,231000,"[81,81,81,43,35,54,66,66,100,100,66,81]",2024-12-12,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
how to delete archived orders from amazon,1,1,170,23,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,42,0.42,0.00,0.01,92,"[53,35,66,0,0,82,53,0,66,100,43,28]",2024-12-19,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
shopify get_all_orders endpoint,3,3,480,9,0.00,https://www.voc.ai/blog/shopify-get-all-orders-endpoint,39,0.39,0.00,0,96,"[100,0,0,0,0]",2025-01-06,"Image pack, Reviews, People also ask",transactional,Organic
predict metic,10,10,1600,11,0.00,https://www.voc.ai/blog/predict-future-performance-with-metric-forecasts-%7C-databox-101-en-us,35,0.35,0.00,0,307000,[100],2025-01-01,"Image pack, People also ask, Related searches",commercial,Organic
necrometer,6,6,1600,28,0.18,https://www.voc.ai/blog/necrometer-spirit-box-app-review%3A-my-mind-blowing-experience-best-itc-app-ever%3F-en-us,35,0.35,6.00,0.01,57400,"[5,5,4,4,5,16,13,10,10,7,100,16]",2025-01-06,"Reviews, Image, People also ask, Related searches","informational, transactional",Organic
can you delete archived orders on amazon,1,1,140,14,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,34,0.34,0.00,0.01,124000,"[53,65,53,53,53,53,42,42,80,53,53,100]",2024-12-25,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
what is amazon digital downloads charge,1,1,140,12,0.00,https://www.voc.ai/blog/amazon-digital-charge,34,0.34,0.00,0,9400000,"[53,65,65,65,65,42,42,34,42,65,53,65]",2024-12-27,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
delete archived amazon orders,1,1,140,18,0.00,https://www.voc.ai/blog/how-to-delete-archived-orders-on-amazon%3A-a-step-by-step-guide-en-us,34,0.34,0.00,0.03,94,"[44,54,3,0,0,15,23,0,28,23,11,54]",2025-01-03,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
amazon vine log in,4,4,2400,30,0.25,https://www.voc.ai/blog/amazon-vine-program-login,33,0.33,8.00,0.01,8290000,"[100,43,1,54,54,54,36,65,81,43,29,36]",2024-12-31,"Sitelinks, Reviews, Video, People also ask, Related searches","navigational, transactional",Organic
shulex chatgpt,1,1,40,27,0.00,https://www.voc.ai/tools/chatgpt-for-amazon,32,0.32,0.00,0.09,67,"[11,11,11,11,100,41,11,52,11,29,11,11]",2024-12-27,"Image pack, Reviews, Video, Image, People also ask, Related searches","informational, transactional",Organic
shulex ai,1,1,40,18,6.48,https://www.voc.ai/,32,0.32,207.00,0.2,31200,"[18,18,18,63,18,36,18,18,100,18,63,18]",2024-12-12,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches",commercial,Organic
get_all_orders endpoint api shopify,4,4,480,5,0.00,https://blog.voc.ai/shopify-get-all-orders-endpoint/,31,0.31,0.00,0,12800,"[100,0,0,0]",2024-12-31,"Sitelinks, Reviews, Discussions and forums",transactional,Organic
what is amazon digital charge,2,2,880,20,0.00,https://www.voc.ai/blog/amazon-digital-charge,30,0.3,0.00,0,308000000,"[15,15,13,7,5,3,7,19,24,19,10,19]",2025-01-05,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
necrophonic,4,4,1000,30,0.13,https://www.voc.ai/blog/a-skeptic-tries-the-necrophonic-spirit-box-app-app-gets-destroyed-with-mild-ghost-hunting-en-us,30,0.3,3.00,0.06,64,"[22,20,22,20,20,20,20,22,22,22,22,54]",2025-01-01,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches","informational, transactional",Organic
how is lazada doing in the philippines compared to shoppie,3,3,1000,3,0.00,https://www.voc.ai/blog/shopee-vs-lazada,30,0.3,0.00,0,13700000,"[100,0]",2024-12-26,"Image pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
